algo,pattern,num,time,data,memory
V4.1,synP_4_1,25,1742,soc-Epinions1,40738KB
V4.1,synP_7_1,4,1670,soc-Epinions1,41058KB
V4.1,synP_10_1,1,1654,soc-Epinions1,42573KB
V4.1,synP_4_1,54,4479,soc-Slashdot,70651KB
V4.1,synP_7_1,8,4477,soc-Slashdot,70684KB
V4.1,synP_10_1,2,4645,soc-Slashdot,75014KB
V4.1,synP_4_1,408,78629,soc-yPokec,2133565KB
V4.1,synP_7_1,38,59555,soc-yPokec,2120810KB
V4.1,synP_10_1,16,52919,soc-yPokec,2114695KB
V4.1,synP_4_1,3129,297857,soc-zLiveJournal1,4787372KB
V4.1,synP_7_1,817,279800,soc-zLiveJournal1,4772696KB
V4.1,synP_10_1,425,1471938,soc-zLiveJournal1,9090781KB
V4.3,synP_4_1,25,595,soc-Epinions1,40116KB
V4.3,synP_7_1,4,505,soc-Epinions1,40103KB
V4.3,synP_10_1,1,553,soc-Epinions1,41668KB
V4.3,synP_4_1,54,1366,soc-Slashdot,70258KB
V4.3,synP_7_1,8,1288,soc-Slashdot,70148KB
V4.3,synP_10_1,2,1962,soc-Slashdot,74526KB
V4.3,synP_4_1,408,23320,soc-yPokec,2128625KB
V4.3,synP_7_1,38,17781,soc-yPokec,2116751KB
V4.3,synP_10_1,16,17610,soc-yPokec,2110521KB
V4.3,synP_4_1,3129,87669,soc-zLiveJournal1,4768034KB
V4.3,synP_7_1,817,92569,soc-zLiveJournal1,4753285KB
V4.3,synP_10_1,425,1274941,soc-zLiveJournal1,9085476KB
V4.4,synP_4_1,25,1717,soc-Epinions1,40747KB
V4.4,synP_7_1,4,1700,soc-Epinions1,40947KB
V4.4,synP_10_1,1,1796,soc-Epinions1,40869KB
V4.4,synP_4_1,54,4414,soc-Slashdot,70746KB
V4.4,synP_7_1,8,4285,soc-Slashdot,70569KB
V4.4,synP_10_1,2,4548,soc-Slashdot,70213KB
V4.4,synP_4_1,408,78029,soc-yPokec,2134405KB
V4.4,synP_7_1,38,60839,soc-yPokec,2121584KB
V4.4,synP_10_1,16,52730,soc-yPokec,2114183KB
V4.4,synP_4_1,3129,301583,soc-zLiveJournal1,4787777KB
V4.4,synP_7_1,817,280678,soc-zLiveJournal1,4773531KB
V4.4,synP_10_1,425,1405068,soc-zLiveJournal1,4761866KB
V4.5,synP_4_1,25,543,soc-Epinions1,40116KB
V4.5,synP_7_1,4,494,soc-Epinions1,40030KB
V4.5,synP_10_1,1,515,soc-Epinions1,39911KB
V4.5,synP_4_1,54,1405,soc-Slashdot,70361KB
V4.5,synP_7_1,8,1322,soc-Slashdot,70135KB
V4.5,synP_10_1,2,1846,soc-Slashdot,69873KB
V4.5,synP_4_1,408,23609,soc-yPokec,2128650KB
V4.5,synP_7_1,38,17706,soc-yPokec,2116968KB
V4.5,synP_10_1,16,17449,soc-yPokec,2110636KB
V4.5,synP_4_1,3129,89704,soc-zLiveJournal1,4767342KB
V4.5,synP_7_1,817,88002,soc-zLiveJournal1,4752396KB
V4.5,synP_10_1,425,1229885,soc-zLiveJournal1,4741214KB
