algo,pattern,num,time,data,peak_memory,memory
V2.0,ex4_1,5,226897,1soc-Epinions1,23285KB,23232KB
V2.0,ex4_1,30,4741924,2soc-Slashdot,37797KB,37793KB
V2.0,ex4_1,124,60123766,3soc-Pokec,1037807KB,1037803KB
V2.0,ex4_1,1226,1443516387,4soc-LiveJournal1,2353971KB,1515266KB
V4.11,ex4_2,5,3985,1soc-Epinions1,40353KB,40370KB
V4.1,ex4_2,5,887,1soc-Epinions1,40374KB,40349KB
V4.11,ex4_2,30,22135,2soc-Slashdot,68882KB,68993KB
V4.1,ex4_2,30,2394,2soc-Slashdot,68997KB,68878KB
V4.11,ex4_2,124,137436,3soc-Pokec,2085953KB,2085896KB
V4.1,ex4_2,124,37140,3soc-Pokec,2096095KB,2096091KB
V4.11,ex4_2,1226,2389439,4soc-LiveJournal1,4637933KB,4635660KB
V4.1,ex4_2,1226,141620,4soc-LiveJournal1,5079224KB,4676026KB
V4.1,synP_01,394,12723,1soc-Epinions1,64376KB,
V4.1,synP_01,1382,20670,2soc-Slashdot,153391KB,
V4.1,synP_01,17209,2032400,3soc-Pokec,3748859KB,
V4.1,synP_01,52010,3183264,4soc-LiveJournal1,7682596KB,
V4.1,synP_02,184,6620,1soc-Epinions1,50802KB,
V4.1,synP_02,637,13509,2soc-Slashdot,106954KB,
V4.1,synP_02,4643,533530,3soc-Pokec,2789855KB,
V4.1,synP_02,19401,1932072,4soc-LiveJournal1,6324948KB,
V4.1,synP_03,64,3661,1soc-Epinions1,44556KB,
V4.1,synP_03,214,10018,2soc-Slashdot,84062KB,
V4.1,synP_03,618,165866,3soc-Pokec,2336727KB,
V4.1,synP_03,5896,850375,4soc-LiveJournal1,5310197KB,
V4.1,synP_04,10,2066,1soc-Epinions1,41234KB,
V4.1,synP_04,20,5550,2soc-Slashdot,72867KB,
V4.1,synP_04,63,80559,3soc-Pokec,2156392KB,
V4.1,synP_04,1460,371837,4soc-LiveJournal1,4861894KB,
V4.1,synP_05,0,1182,1soc-Epinions1,40579KB,
V4.1,synP_05,1,2799,2soc-Slashdot,68931KB,
V4.1,synP_05,5,40431,3soc-Pokec,2097393KB,
V4.1,synP_05,334,203301,4soc-LiveJournal1,4690055KB,
V4.5,synP_1,37,3025,1soc-Epinions1,40845KB,
V4.7,synP_1,36,111973,1soc-Epinions1,64557KB,
V4.1,synP_1,37,142753,1soc-Epinions1,343719KB,
V4.1,synP_1,7,1140,1soc-Epinions1,42684KB,
V4.3,synP_1,0,0,1soc-Epinions1,39190KB,
V4.3,synP_1,37,3267,1soc-Epinions1,40841KB,
V4.3,synP_1,37,3162,1soc-Epinions1,40669KB,
V4.3,synP_1,37,3322,1soc-Epinions1,40902KB,
V4.1,synP_1,37,129812,1soc-Epinions1,343552KB,
V4.1,synP_1,37,141319,1soc-Epinions1,166592KB,
V4.3,synP_1,37,3263,1soc-Epinions1,40792KB,
V4.4,synP_1,37,141349,1soc-Epinions1,166563KB,
V4.5,synP_1,37,3344,1soc-Epinions1,40783KB,
V4.5,synP_1,76,7312,2soc-Slashdot,72224KB,
V4.1,synP_1,84,339969,2soc-Slashdot,1485185KB,
V4.7,synP_1,82,275526,2soc-Slashdot,101404KB,
V4.1,synP_1,84,329330,2soc-Slashdot,185823KB,
V4.3,synP_1,84,8088,2soc-Slashdot,72642KB,
V4.4,synP_1,84,336849,2soc-Slashdot,185520KB,
V4.5,synP_1,84,8173,2soc-Slashdot,72699KB,
V4.5,synP_1,538,122618,3soc-Pokec,2163929KB,
V4.1,synP_1,538,6365829,3soc-Pokec,11344949KB,
V4.1,synP_1,538,5695247,3soc-Pokec,2544959KB,
V4.3,synP_1,538,130939,3soc-Pokec,2163601KB,
V4.4,synP_1,538,5835344,3soc-Pokec,2540269KB,
V4.5,synP_1,538,131186,3soc-Pokec,2163761KB,
V4.5,synP_1,3745,753057,4soc-LiveJournal1,4969787KB,
V4.11,synP_1,3745,40476971,4soc-LiveJournal1,8722182KB,
V4.3,synP_1,3745,796255,4soc-LiveJournal1,4967747KB,
V4.4,synP_1,3745,43421567,4soc-LiveJournal1,8710221KB,
V4.5,synP_1,3745,805233,4soc-LiveJournal1,4968255KB,
V4.5,synP_1_10_38,134,12001,1soc-Epinions1,49192KB,
V4.5,synP_1_10_38,368,28447,2soc-Slashdot,99876KB,
V4.5,synP_1_10_38,4665,915699,3soc-Pokec,2740457KB,
V4.5,synP_1_10_38,12966,12985307,4soc-LiveJournal1,6862000KB,
V4.5,synP_1_4_38,225,11978,1soc-Epinions1,49410KB,
V4.5,synP_1_4_38,586,28662,2soc-Slashdot,99405KB,
V4.5,synP_1_4_38,11017,477195,3soc-Pokec,2662957KB,
V4.5,synP_1_4_38,29224,2332148,4soc-LiveJournal1,6530207KB,
V4.5,synP_1_7_38,160,11837,1soc-Epinions1,49745KB,
V4.5,synP_1_7_38,460,29193,2soc-Slashdot,100667KB,
V4.5,synP_1_7_38,6742,501731,3soc-Pokec,2706014KB,
V4.5,synP_1_7_38,17891,2651002,4soc-LiveJournal1,6802198KB,
