algo,pattern,num,time,data,peakmemory,memory
V4.1,synP_461,0,9,soc-Epinions1,39194KB,39178KB
V4.1,synP_462,6,1723,soc-Epinions1,40861KB,40857KB
V4.1,synP_463,72,223103,soc-Epinions1,196411KB,97611KB
V4.1,synP_461,0,12,soc-Slashdot,67555KB,67543KB
V4.1,synP_462,4,3308,soc-Slashdot,70176KB,70172KB
V4.1,synP_463,145,534635,soc-Slashdot,366641KB,221917KB
V4.1,synP_461,0,393,soc-yPokec,2083737KB,2083721KB
V4.1,synP_462,29,66420,soc-yPokec,2124988KB,2124984KB
V4.1,synP_463,546,8808059,soc-yPokec,2722582KB,2565668KB
V4.1,synP_461,0,963,soc-zLiveJournal1,4629225KB,4629209KB
V4.1,synP_462,829,247373,soc-zLiveJournal1,4759228KB,4759224KB
V4.1,synP_463,5400,61677554,soc-zLiveJournal1,9136078KB,6631849KB
V4.3,synP_461,0,8,soc-Epinions1,39211KB,39198KB
V4.3,synP_462,6,502,soc-Epinions1,40222KB,40218KB
V4.3,synP_463,72,7969,soc-Epinions1,44781KB,44777KB
V4.3,synP_461,0,12,soc-Slashdot,67551KB,67534KB
V4.3,synP_462,4,1055,soc-Slashdot,69689KB,69685KB
V4.3,synP_463,145,19625,soc-Slashdot,83886KB,83881KB
V4.3,synP_461,0,362,soc-yPokec,2083725KB,2083708KB
V4.3,synP_462,29,19699,soc-yPokec,2119675KB,2119671KB
V4.3,synP_463,546,283425,soc-yPokec,2349998KB,2349993KB
V4.3,synP_461,0,856,soc-zLiveJournal1,4629180KB,4629164KB
V4.3,synP_462,829,70394,soc-zLiveJournal1,4739186KB,4739182KB
V4.3,synP_463,5400,1675373,soc-zLiveJournal1,5625655KB,5625651KB
V4.4,synP_461,0,9,soc-Epinions1,39198KB,39186KB
V4.4,synP_462,6,1677,soc-Epinions1,40960KB,40955KB
V4.4,synP_463,72,221209,soc-Epinions1,196415KB,93126KB
V4.4,synP_461,0,12,soc-Slashdot,67567KB,67551KB
V4.4,synP_462,4,3386,soc-Slashdot,70279KB,70275KB
V4.4,synP_463,145,544866,soc-Slashdot,366653KB,239046KB
V4.4,synP_461,0,385,soc-yPokec,2083745KB,2083729KB
V4.4,synP_462,29,64945,soc-yPokec,2125029KB,2125025KB
V4.4,synP_463,546,8625462,soc-yPokec,2691272KB,2676994KB
V4.4,synP_461,0,936,soc-zLiveJournal1,4629225KB,4629213KB
V4.4,synP_462,829,283716,soc-zLiveJournal1,4760682KB,4760678KB
V4.4,synP_463,5400,61924708,soc-zLiveJournal1,9130717KB,8970641KB
V4.5,synP_461,0,8,soc-Epinions1,39235KB,39219KB
V4.5,synP_462,6,487,soc-Epinions1,40161KB,40157KB
V4.5,synP_463,72,7616,soc-Epinions1,44769KB,44765KB
V4.5,synP_461,0,12,soc-Slashdot,67555KB,67538KB
V4.5,synP_462,4,1000,soc-Slashdot,69697KB,69693KB
V4.5,synP_463,145,18977,soc-Slashdot,84041KB,84037KB
V4.5,synP_461,0,356,soc-yPokec,2083721KB,2083704KB
V4.5,synP_462,29,18693,soc-yPokec,2119770KB,2119766KB
V4.5,synP_463,546,281500,soc-yPokec,2349805KB,2349801KB
V4.5,synP_461,0,862,soc-zLiveJournal1,4629188KB,4629172KB
V4.5,synP_462,829,70824,soc-zLiveJournal1,4739223KB,4739219KB
V4.5,synP_463,5400,1673071,soc-zLiveJournal1,5626707KB,5626703KB
